,time,title,company,location,job-link,company-link
0,2 weeks ago,Fiction Writing Assistant,Project Growth,Egypt,https://eg.linkedin.com/jobs/view/fiction-writing-assistant-at-project-growth-3860724419?position=1&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=Qal6ZSz2Lbweo7oQYvt19A%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/our-project-growth?trk=public_jobs_jserp-result_job-search-card-subtitle
1,2 weeks ago,Fiction Writing Assistant,Project Growth,Egypt,https://eg.linkedin.com/jobs/view/fiction-writing-assistant-at-project-growth-3860723073?position=2&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=watyU7SCJDrX%2F3L412JUwQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/our-project-growth?trk=public_jobs_jserp-result_job-search-card-subtitle
2,2 weeks ago,Fiction Writing Assistant,Project Growth,Egypt,https://eg.linkedin.com/jobs/view/fiction-writing-assistant-at-project-growth-3860723585?position=3&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=9szlbZrsozMspBIjBVUkfA%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/our-project-growth?trk=public_jobs_jserp-result_job-search-card-subtitle
3,2 weeks ago,Florist,Marriott International,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/florist-at-marriott-international-3859630785?position=4&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=LCdV0eF4UFHKcH8zLKec0w%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle
4,2 weeks ago,Writing Assistant,Project Growth,Egypt,https://eg.linkedin.com/jobs/view/writing-assistant-at-project-growth-3860728193?position=5&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=BaPSFdJJ8ioxKZFg73%2BZuQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/our-project-growth?trk=public_jobs_jserp-result_job-search-card-subtitle
5,1 day ago,Events Coordinator,Marriott International,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/events-coordinator-at-marriott-international-3883475072?position=6&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=SJETF5g3nqxGz4WVNQN6uw%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle
6,6 days ago,Graphic Designer,jobed.com,Egypt,https://eg.linkedin.com/jobs/view/graphic-designer-at-jobed-com-3876234549?position=7&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=EVx1eOLv00AJGxnP95W2VQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://kw.linkedin.com/company/jobedco?trk=public_jobs_jserp-result_job-search-card-subtitle
7,1 week ago,Graphic Designer,Leo Burnett,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/graphic-designer-at-leo-burnett-3870667062?position=8&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=UVajNEYnvvIv1XSHmQh9vQ%3D%3D&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/leo-burnett?trk=public_jobs_jserp-result_job-search-card-subtitle
8,1 month ago,Graphic Design,Rekrut by Talent 360,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/graphic-design-at-rekrut-by-talent-360-3835718727?position=9&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=lez7RKTh2Wp8QY0rZRvxLw%3D%3D&trk=public_jobs_jserp-result_search-card,https://eg.linkedin.com/company/rekrut-talents?trk=public_jobs_jserp-result_job-search-card-subtitle
9,1 week ago,مسؤول فريق المنوعات,AlAin News,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/%D9%85%D8%B3%D8%A4%D9%88%D9%84-%D9%81%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D9%85%D9%86%D9%88%D8%B9%D8%A7%D8%AA-at-alain-news-3870515256?position=10&pageNum=0&refId=VnZVe4PencDdA6gHSRRd%2Bg%3D%3D&trackingId=inCxxXXwbtRpZsaLD7MdbA%3D%3D&trk=public_jobs_jserp-result_search-card,https://ae.linkedin.com/company/ainnews?trk=public_jobs_jserp-result_job-search-card-subtitle
